sigma,omega,fdm_trap,fdm_vegas,meq_vegas,Q_f,Q_m,M_lo,M_hi,file
100000.0,0.0789652287,0.010486620080362184,0.010486586849657038,0.021499152930468005,0.6754299937858068,0.29124264727082116,0.0001,302191.8,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.0789652287_l1e-04_h1e+06.txt
100000.0,0.106081836,0.012012599668582358,0.012012564981118249,0.028253482941795183,0.016041879756172547,0.016041879756172547,0.0001,912626.3,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.106081836_l1e-04_h1e+06.txt
100000.0,0.142510267,0.013625779238563042,0.01362577746071318,0.03642556723859966,0.16770733978188335,0.16770733978188335,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.142510267_l1e-04_h1e+06.txt
100000.0,0.191448198,0.01538561256453456,0.015385641672337464,0.046477902083316334,0.364930588685736,0.364930588685736,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.191448198_l1e-04_h1e+06.txt
100000.0,0.257191381,0.017287010612618503,0.01728700637951677,0.05870274518210593,0.4624718696982837,0.4624718696982837,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.257191381_l1e-04_h1e+06.txt
100000.0,0.345510729,0.019389475741007613,0.01938946664445322,0.07388902840717407,0.8666555387586115,0.8666555387586115,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.345510729_l1e-04_h1e+06.txt
100000.0,0.464158883,0.021721845706107766,0.02172183967530767,0.09272589044574327,0.440136624833419,0.440136624833419,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.464158883_l1e-04_h1e+06.txt
100000.0,0.623550734,0.023609437033432684,0.023609421188175096,0.1095758239747618,0.11415014535445796,0.11415014535445796,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.623550734_l1e-04_h1e+06.txt
100000.0,0.83767764,0.023702113529872587,0.023702125947541546,0.11035574913603052,0.16606441062526853,0.16606441062526853,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.83767764_l1e-04_h1e+06.txt
100000.0,1.12533558,0.023014800721355172,0.023014789284548226,0.10402363354864612,0.11525424527068756,0.11525424527068756,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W1.12533558_l1e-04_h1e+06.txt
100000.0,11.9377664,0.022130568989490233,0.022130566433347938,0.09605661753412031,0.5939291134493341,0.5939291134493341,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W11.9377664_l1e-04_h1e+06.txt
100000.0,126.638017,0.02218455024137297,0.02218453546122648,0.09652541573969269,0.3914193836234734,0.3914193836234734,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W126.638017_l1e-04_h1e+06.txt
100000.0,1.51177507,0.022537617948705783,0.022537622292636537,0.0997533471348526,0.20416037167375317,0.20416037167375317,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W1.51177507_l1e-04_h1e+06.txt
100000.0,16.0371874,0.022194372242406495,0.022194383507528073,0.09661158689032442,0.48708384261197957,0.3139802388380948,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W16.0371874_l1e-04_h1e+06.txt
100000.0,170.125428,0.02218543600072336,0.022185432098264724,0.0965331296257307,0.1990890544636291,0.1990890544636291,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W170.125428_l1e-04_h1e+06.txt
100000.0,2.03091762,0.022370318494878076,0.022370310920081224,0.09823341904370243,0.481150863883655,0.481150863883655,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W2.03091762_l1e-04_h1e+06.txt
100000.0,21.5443469,0.022189866886506742,0.022189857111071097,0.09657207020100428,0.4640256398677819,0.4640256398677819,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W21.5443469_l1e-04_h1e+06.txt
100000.0,228.546386,0.02218503371157604,0.022185037380627336,0.09652981777801233,0.46544958838202666,0.29187310134364414,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W228.546386_l1e-04_h1e+06.txt
100000.0,2.72833338,0.022349390808931675,0.022349380995698692,0.09796455866102428,0.02370030574103812,0.02370030574103812,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W2.72833338_l1e-04_h1e+06.txt
